"ID_MGN","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","Residuos_recoleccion","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
47377,3,0,2,4,1,2,75,100,100,0.804878048780488,1.53658536585366,0.390243902439024,0.0731707317073171,1
47378,3,0,2,4,1,1,100,100,100,1,2.03225806451613,0.387096774193548,0.032258064516129,1
47379,3,1,3,4,1,6,80.9523809523809,80.9523809523809,100,0.63265306122449,0.877551020408163,0.171428571428571,0.0775510204081633,3
47381,1,0,3,4,1,1,100,50,100,0.133333333333333,1.8,0.5,0.0333333333333333,1
47385,2,0,2,4,1,0,100,75,91.6666666666667,0.873239436619718,1.36619718309859,0,0.0422535211267606,1
47386,3,0,3,5,1,6,88.8888888888889,72.2222222222222,91.6666666666667,0.689969604863222,0.96048632218845,0.103343465045593,0.0395136778115502,1
47387,2,0,3,2,1,0,85.7142857142857,71.4285714285714,85.7142857142857,0.903225806451613,1.83870967741935,0.451612903225806,0.0967741935483871,1
47388,2,0,1,2,1,2,100,50,100,0.914285714285714,1.97142857142857,0.228571428571429,0.0571428571428571,1
47389,2,0,1,4,1,1,100,50,100,0.921052631578947,2.05263157894737,0.263157894736842,0.0526315789473684,1
47390,2,0,1,4,1,1,100,50,100,1.16279069767442,1.90697674418605,0.209302325581395,0.0465116279069767,1
47391,0,0,3,4,1,2,77.7777777777778,88.8888888888889,88.8888888888889,1.46,1.18,0.17,0.04,3
47393,2,1,3,4,1,2,60,100,100,0.216417910447761,1.24626865671642,0.283582089552239,0.0671641791044776,3
47394,1,2,3,4,1,1,80,90,100,2.95,0.95,0.95,0.2,3
47395,1,1,3,4,1,2,50,100,100,0.196078431372549,0.57516339869281,0.176470588235294,0.0522875816993464,3
47396,1,1,3,4,1,4,50,66.6666666666667,83.3333333333333,0.031496062992126,1.05511811023622,0.21259842519685,0.031496062992126,3
47397,3,0,3,4,1,4,70,90,90,0.0803571428571429,1.16071428571429,0.160714285714286,0.0178571428571429,1
47398,3,2,3,4,1,1,90.9090909090909,100,100,0.62962962962963,0.62962962962963,0.388888888888889,0.12962962962963,3
47399,3,0,2,4,1,1,100,66.6666666666667,100,0.894736842105263,1.57894736842105,0.228070175438596,0.0526315789473684,1
47400,3,0,3,4,1,1,50,100,50,0.714285714285714,1.34285714285714,0.171428571428571,0.0428571428571429,3
47401,0,1,3,4,1,0,86.268032209008,86.485919736114,94.0033444054856,0.769230769230769,2.23076923076923,0.5,0.0769230769230769,3
47402,0,1,1,2,1,1,86.268032209008,86.485919736114,94.0033444054856,0.59375,0,0,0.0625,3
47403,1,2,3,4,1,8,66.6666666666667,66.6666666666667,83.3333333333333,0.505747126436782,1.11494252873563,0.241379310344828,0.053639846743295,3
47404,3,0,2,4,1,2,100,100,100,0.923076923076923,1.66153846153846,0.2,0.0769230769230769,1
47405,3,0,3,4,1,1,50,100,50,0.626373626373626,1.35164835164835,0.131868131868132,0.032967032967033,3
47406,0,2,3,3,1,0,86.268032209008,86.485919736114,94.0033444054856,0.0588235294117647,0.964705882352941,0.129411764705882,0.0352941176470588,3
47407,0,2,1,3,1,1,86.268032209008,86.485919736114,94.0033444054856,1.41935483870968,0,0,0.032258064516129,3
47423,0,2,3,4,1,1,85.7142857142857,80.9523809523809,95.2380952380952,0.117021276595745,0.202127659574468,0.138297872340426,0.0851063829787234,3
47424,2,1,3,4,1,2,50,50,50,0.175,0.575,0.125,0.15,3
47425,1,0,2,4,1,0,86.268032209008,86.485919736114,94.0033444054856,0.421052631578947,0.947368421052632,0.368421052631579,0.105263157894737,1
47426,2,0,2,4,1,0,86.268032209008,86.485919736114,94.0033444054856,0.785714285714286,1.92857142857143,0.428571428571429,0.214285714285714,1
