"ID_MGN","Saneamiento_Sinconexiones","Telecomunicaciones_4Ginteriores","Telecomunicaciones_4Gexteriores","Telecomunicaciones_4Gvehiculos","Movilidad_congestionamiento","cantidad_empresas","Movilidad_accidentes_Calle_buen_estado","Movilidad_accidentes_buenTiempo","Movilidad_accidentes_pavimento","Agua_conexiones_edific","Saneamiento_conexiones_edific","Electricidad_medidoresint_edific","Electricidad_postes_edific","Electricidad_transformadores_edific","cluster"
40394,11,3,0,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,1.13888888888889,0.833333333333333,0.0277777777777778,0.222222222222222,0.0277777777777778,2
40395,14,3,1,3,5,4,96.2962962962963,96.2962962962963,96.2962962962963,0.443786982248521,0.36094674556213,0.0118343195266272,0.674556213017751,0.224852071005917,3
40396,47,1,1,2,0,2,85.7142857142857,85.7142857142857,85.7142857142857,0.685714285714286,0.0142857142857143,0,0.342857142857143,0.0571428571428571,2
40397,2,2,0,2,0,0,90.9090909090909,90.9090909090909,100,0.285714285714286,0,0,1.14285714285714,0.285714285714286,2
40398,14,2,0,2,4,3,73.3333333333333,93.3333333333333,93.3333333333333,0.545454545454545,0.333333333333333,0.0151515151515152,0.303030303030303,0.212121212121212,1
40399,0,3,0,2,4,0,100,100,100,0.947368421052632,0.947368421052632,0,0.473684210526316,0.0526315789473684,1
40400,0,3,0,0,4,1,100,100,100,0.866666666666667,0.866666666666667,0.0666666666666667,0.533333333333333,0.0666666666666667,1
40401,1,3,0,0,4,0,100,100,100,0.9,0.8,0.2,0.4,0.1,1
40402,1,3,0,0,4,1,100,100,100,0.818181818181818,0.727272727272727,0.0909090909090909,0.272727272727273,0.181818181818182,1
40403,2,3,0,0,4,1,100,100,100,0.642857142857143,0.595238095238095,0.0714285714285714,0.214285714285714,0.0238095238095238,1
40404,1,3,0,0,0,0,100,100,100,1.07407407407407,1.03703703703704,0.0740740740740741,0.333333333333333,0.037037037037037,2
40405,1,3,0,2,0,1,100,100,100,0.8,0.766666666666667,0.0666666666666667,0.3,0.0666666666666667,2
40406,0,3,0,1,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.708333333333333,0.708333333333333,0.125,0.291666666666667,0.0833333333333333,2
40407,0,3,0,2,0,0,81.9044873063313,91.0130610644602,82.8406469895976,0.708333333333333,0.708333333333333,0.0416666666666667,0.333333333333333,0,2
40408,0,3,0,1,4,1,81.9044873063313,91.0130610644602,82.8406469895976,0.588235294117647,0.588235294117647,0.0588235294117647,0.176470588235294,0.0588235294117647,1
40409,13,2,1,3,5,5,91.4893617021277,93.6170212765958,89.3617021276596,0.316666666666667,0.1,0.0333333333333333,0.566666666666667,0.183333333333333,3
40410,53,3,1,3,4,6,85.1851851851852,90.7407407407407,94.4444444444444,0.462025316455696,0.126582278481013,0.0126582278481013,0.936708860759494,0.227848101265823,3
40411,2,3,0,0,4,0,100,100,100,0.789473684210526,0.736842105263158,0.0789473684210526,0.210526315789474,0,1
40412,2,3,0,0,4,0,100,100,100,0.966666666666667,0.9,0.0333333333333333,0.3,0,1
40432,0,3,1,3,4,0,96.875,96.875,100,0.027027027027027,0.027027027027027,0,0.675675675675676,0.108108108108108,3
40436,64,3,2,3,4,3,91.1111111111111,93.3333333333333,91.1111111111111,0.864864864864865,0,0.0405405405405405,0.445945945945946,0.0540540540540541,3
40439,0,3,0,2,3,1,81.9044873063313,91.0130610644602,82.8406469895976,0.647058823529412,0.647058823529412,1,0.264705882352941,0.0588235294117647,1
40441,0,3,0,1,3,0,100,100,66.6666666666667,0.119047619047619,0.119047619047619,1.14285714285714,0.19047619047619,0.0476190476190476,1
40442,0,3,0,1,0,0,100,100,100,0.852941176470588,0.852941176470588,1.61764705882353,0.235294117647059,0.0588235294117647,2
40443,5,2,0,3,0,1,100,100,100,1.1,0.933333333333333,1.83333333333333,0.266666666666667,0.1,2
